t;x
1955-06;931.270.131.851.611
1955-07;-472.362.129.543.341
1955-08;596.001.388.254.015
1955-09;100.049.099.277.017
1955-10;127.382.727.085.921
1955-11;668.218.792.131.462
1955-12;537.896.072.870.712
1956-01;520.644.495.525.436
1956-02;219.822.307.969.008
1956-03;-123.375.970.465.292
1956-04;149.708.542.862.987
1956-05;821.640.644.536.524
1956-06;859.680.345.300.248
1956-07;-586.978.812.954.577
1956-08;359.938.466.862.368
1956-09;5.192.794.928.866
1956-10;139.810.990.623.933
1956-11;627.022.313.600.142
1956-12;11.882.008.897.014
1957-01;312.782.406.720.886
1957-02;208.004.382.926.707
1957-03;-108.905.572.385.413
1957-04;123.693.960.806.998
1957-05;100.412.923.568.042
1957-06;799.201.600.065.309
1957-07;-259.990.526.115.929
1957-08;843.769.367.158.592
1957-09;124.644.285.285.847
1957-10;108.420.344.861.858
1957-11;325.773.631.305.795
1957-12;505.352.789.945.638
1958-01;405.006.937.544.501
1958-02;177.537.139.658.279
1958-03;-906.886.729.782.564
1958-04;872.512.971.621.448
1958-05;606.653.153.206.185
1958-06;74.135.012.542.701
1958-07;-55.121.853.192.157
1958-08;483.756.160.069.799
1958-09;187.681.117.862.391
1958-10;130.981.500.904.144
1958-11;151.237.228.104.349
1958-12;560.935.973.935.265
1959-01;-225.944.883.940.539
1959-02;197.587.871.289.066
1959-03;-777.002.427.633.673
1959-04;662.560.453.257.815
1959-05;883.443.243.347.103
1959-06;924.277.527.702.883
1959-07;-669.134.053.799.263
1959-08;825.820.023.314.162
1959-09;546.305.050.022.945
1959-10;101.603.208.913.105
1959-11;172.973.280.299.981
1959-12;571.477.760.701.556
1960-01;-448.257.955.815.658
1960-02;166.181.646.251.684
1960-03;-779.579.097.029.122
1960-04;109.951.227.377.259
1960-05;105.656.044.511.407
1960-06;854.769.733.638.283
1960-07;-114.716.215.744.161
1960-08;559.602.686.653.757
1960-09;382.645.980.923.786
1960-10;769.219.157.405.562
1960-11;29.518.156.382.431
1960-12;131.509.900.901.783
1961-01;208.376.733.062.719
1961-02;159.996.044.245.136
1961-03;-29.481.317.963.441
1961-04;11.009.388.520.348
1961-05;866.188.149.147.643
1961-06;788.067.431.228.508
1961-07;-920.948.560.502.765
1961-08;11.833.038.912.369
1961-09;163.139.447.672.652
1961-10;997.923.791.137.276
1961-11;507.276.645.479.775
1961-12;117.270.916.106.642
1962-01;406.149.236.073.336
1962-02;155.497.069.227.489
1962-03;-157.732.892.042.185
1962-04;167.197.801.360.693
1962-05;974.684.885.827.331
1962-06;913.004.750.972.225
1962-07;-698.001.995.615.465
1962-08;155.153.207.856.946
1962-09;948.045.958.083.602
1962-10;712.477.207.446.796
1962-11;60.773.346.313.721
1962-12;158.590.642.728.437
1963-01;69.014.776.898.715
1963-02;131.609.049.280.528
1963-03;-165.635.966.919.007
1963-04;162.911.510.863.295
1963-05;921.808.410.122.919
1963-06;666.274.841.491.309
1963-07;-961.013.625.001.797
1963-08;107.189.620.800.721
1963-09;838.061.799.107.518
1963-10;993.693.665.048.738
1963-11;-185.697.597.815.266
1963-12;164.588.254.525.815
1964-01;397.849.434.060.584
1964-02;203.508.974.939.097
1964-03;138.621.741.675.244
1964-04;133.782.525.134.103
1964-05;101.985.316.079.242
1964-06;392.993.598.457.307
1964-07;-739.473.484.385.431
1964-08;140.154.440.738.695
1964-09;879.045.180.972.192
1964-10;705.695.093.246.425
1964-11;605.727.383.177.927
1964-12;173.695.232.118.814
1965-01;308.461.025.598.565
1965-02;204.499.175.333.845
1965-03;-145.734.122.234.869
1965-04;160.456.713.070.222
1965-05;13.933.692.242.363
1965-06;619.979.818.426.557
1965-07;-622.707.772.628.111
1965-08;138.289.847.702.725
1965-09;123.718.890.193.919
1965-10;913.589.933.650.141
1965-11;787.826.715.584.747
1965-12;138.946.211.316.485
1966-01;248.840.152.918.833
1966-02;204.951.216.174.523
1966-03;115.930.998.742.438
1966-04;112.784.692.002.115
1966-05;120.324.449.207.786
1966-06;603.554.212.078.739
1966-07;-529.018.452.156.853
1966-08;126.210.513.335.524
1966-09;99.329.742.929.372
1966-10;13.531.066.663.586
1966-11;758.548.457.288.364
1966-12;1.452.980.674.916
1967-01;484.188.478.553.869
1967-02;152.772.588.902.139
1967-03;-207.796.225.489.544
1967-04;168.477.908.101.284
1967-05;104.855.416.379.963
1967-06;652.942.921.556.715
1967-07;-63.091.315.391.921
1967-08;819.210.109.548.021
1967-09;54.388.030.542.024
1967-10;118.528.081.970.109
1967-11;297.643.945.610.672
1967-12;15.329.378.124.316
1968-01;231.429.261.540.906
1968-02;215.459.128.700.692
1968-03;-603.044.642.059.174
1968-04;198.490.774.550.924
1968-05;139.646.462.845.899
1968-06;780.110.139.024.812
1968-07;-620.220.456.254.947
1968-08;152.633.691.580.829
1968-09;819.540.001.199.483
1968-10;982.220.575.560.984
1968-11;57.812.449.633.719
1968-12;1.255.024.399.652
1969-01;387.155.771.803.395
1969-02;180.978.240.438.208
1969-03;197.484.642.342.086
1969-04;158.558.855.607.884
1969-05;14.018.541.957.754
1969-06;452.975.363.266.147
1969-07;-479.057.991.889.286
1969-08;121.889.604.089.887
1969-09;695.162.616.472.643
1969-10;987.593.867.467.247
1969-11;592.107.999.649.077
1969-12;959.346.095.165.741
1970-01;60.526.626.673.054
1970-02;180.100.939.119.022
1970-03;-388.158.574.504.381
1970-04;185.838.541.168.737
1970-05;152.832.082.686.172
1970-06;75.317.449.648.352
1970-07;-660.296.699.590.859
1970-08;119.591.325.740.911
1970-09;101.926.331.817.683
1970-10;996.651.913.265.823
1970-11;415.739.012.720.316
1970-12;958.694.340.763.042
1971-01;654.991.761.861.907
1971-02;160.847.350.005.494
1971-03;-417.855.957.590.461
1971-04;232.225.862.639.663
1971-05;140.986.667.070.093
1971-06;126.023.190.922.988
1971-07;-779.334.147.196.298
1971-08;133.294.141.043.414
1971-09;953.797.702.276.425
1971-10;565.917.079.603.178
1971-11;616.436.807.223.816
1971-12;115.009.632.408.852
1972-01;715.594.170.439.444
1972-02;148.297.890.578.115
1972-03;-359.333.015.529.163
1972-04;195.050.744.382.148
1972-05;17.634.261.148.359
1972-06;-147.624.905.633.425
1972-07;-563.322.215.584.558
1972-08;164.134.843.150.126
1972-09;103.319.512.383.626
1972-10;594.390.199.949.624
1972-11;783.210.385.483.999
1972-12;564.218.802.734.079
1973-01;663.522.138.137.621
1973-02;189.079.715.995.775
1973-03;-193.755.294.716.894
1973-04;179.147.903.468.711
1973-05;224.545.598.322.187
1973-06;-356.646.511.313.169
1973-07;-604.626.992.049.514
1973-08;198.867.082.670.114
1973-09;566.171.739.140.953
1973-10;207.978.904.799.746
1973-11;144.651.599.856.861
1973-12;768.880.433.252.455
1974-01;806.059.268.257.308
1974-02;170.182.972.150.577
1974-03;-274.316.893.349.797
1974-04;161.573.519.613.546
1974-05;216.119.360.759.701
1974-06;-712.239.395.515.983
1974-07;-619.935.165.274.569
1974-08;169.732.095.988.741
1974-09;723.147.104.955.017
1974-10;440.827.383.633.189
1974-11;6.901.672.224.618
1974-12;105.414.559.529.623
1975-01;0.817014596362114
1975-02;230.587.706.274.265
1975-03;-473.813.664.361.881
1975-04;153.669.863.506.543
1975-05;188.794.279.157.207
1975-06;-417.720.637.988.439
1975-07;-737.174.256.654.233
1975-08;191.473.862.346.858
1975-09;254.088.683.514.776
1975-10;-301.981.214.387.953
1975-11;13.135.670.998.212
1975-12;117.578.538.250.968
1976-01;331.560.438.828.529
1976-02;226.482.394.376.567
1976-03;-154.099.687.801.626
1976-04;101.271.776.623.676
1976-05;233.391.511.258.871
1976-06;-276.441.214.535.687
1976-07;-104.593.281.536.988
1976-08;185.282.782.242.962
1976-09;113.770.492.251.701
1976-10;-175.870.671.913.565
1976-11;151.316.843.107.067
1976-12;848.393.115.967.303
1977-01;139.808.509.671.948
1977-02;243.212.524.349.681
1977-03;-291.984.525.708.514
1977-04;187.581.779.346.107
1977-05;221.590.760.020.353
1977-06;36.296.534.668.273
1977-07;-94.340.213.452.514
1977-08;193.387.601.167.493
1977-09;709.069.843.803.666
1977-10;-129.138.226.328.329
1977-11;153.504.570.926.016
1977-12;807.038.424.748.431
1978-01;609.353.619.468.016
1978-02;206.779.313.285.043
1978-03;-576.005.792.838.689
1978-04;155.208.892.684.334
1978-05;167.344.052.766.155
1978-06;329.801.504.416.397
1978-07;-160.330.064.770.738
1978-08;185.635.075.512.993
1978-09;387.055.273.538.331
1978-10;697.559.462.892.742
1978-11;141.900.744.830.239
1978-12;173.533.370.156.867
1979-01;433.215.950.126.389
1979-02;200.136.393.158.842
1979-03;-707.239.138.451.978
1979-04;161.242.621.461.811
1979-05;18.984.606.026.684
1979-06;190.084.110.985.375
1979-07;-226.851.762.442.293
1979-08;17.525.412.343.835
1979-09;192.630.929.351.242
1979-10;-285.050.200.950.988
1979-11;133.089.367.077.228
1979-12;47.244.078.159.763
1980-01;-831.413.390.581.162
1980-02;194.999.014.312.499
1980-03;-704.618.009.238.668
1980-04;131.062.023.045.709
1980-05;159.628.410.350.287
1980-06;182.168.370.284.398
1980-07;-220.193.179.363.029
1980-08;186.515.122.864.193
1980-09;120.607.542.967.549
1980-10;0.868571236472261
1980-11;11.539.992.953.906
1980-12;771.989.483.119.064
1981-01;298.240.959.328.783
1981-02;223.823.005.811.744
1981-03;-868.888.967.796.525
1981-04;135.669.645.387.032
1981-05;200.615.406.344.258
1981-06;406.164.123.770.327
1981-07;-205.886.847.321.526
1981-08;221.916.251.035.937
1981-09;363.055.059.716.962
1981-10;196.111.016.950.976
1981-11;104.808.328.496.156
1981-12;90.929.768.705.447
1982-01;269.022.580.748.635
1982-02;227.543.148.485.107
1982-03;-637.964.389.025.855
1982-04;173.050.966.730.765
1982-05;250.985.075.964.573
1982-06;152.775.719.394.406
1982-07;-161.203.924.755.655
1982-08;251.871.812.901.871
1982-09;124.414.841.309.178
1982-10;431.506.350.755.067
1982-11;157.142.054.480.692
1982-12;142.131.213.128.342
1983-01;232.913.875.433.915
1983-02;253.555.430.856.267
1983-03;-859.158.945.919.533
1983-04;192.627.230.262.347
1983-05;243.770.620.211.108
1983-06;327.641.250.558.788
1983-07;-146.879.643.078.749
1983-08;214.597.262.956.481
1983-09;335.450.980.418.306
1983-10;419.136.512.350.611
1983-11;96.690.267.849.541
1983-12;125.153.989.020.441
1984-01;432.473.791.367.334
1984-02;17.980.812.052.012
1984-03;-846.414.341.712.441
1984-04;171.005.392.084.085
1984-05;26.067.757.762.945
1984-06;356.849.951.141.526
1984-07;-159.134.498.050.584
1984-08;216.717.977.345.435
1984-09;175.966.911.851.483
1984-10;293.220.066.199.334
1984-11;112.771.032.394.275
1984-12;956.254.422.047.261
1985-01;0.688857000551263
1985-02;216.048.124.063.972
1985-03;-136.373.618.554.435
1985-04;224.004.588.430.906
1985-05;231.524.851.733.884
1985-06;212.356.076.288.559
1985-07;-178.893.632.561.702
1985-08;247.501.609.424.695
1985-09;-281.836.910.590.974
1985-10;308.184.543.050.743
1985-11;138.893.853.829.033
1985-12;734.770.638.761.794
1986-01;11.685.077.662.567
1986-02;215.460.634.609.464
1986-03;-141.612.859.278.426
1986-04;225.447.532.113.641
1986-05;254.861.906.421.437
1986-06;158.382.078.015.937
1986-07;-221.825.226.492.793
1986-08;235.016.385.419.478
1986-09;387.475.227.778.837
1986-10;-145.522.826.864.834
1986-11;119.780.870.415.101
1986-12;10.231.582.349.384
1987-01;989.934.349.509.035
1987-02;207.992.464.529.989
1987-03;-108.542.959.819.869
1987-04;204.712.356.664.626
1987-05;241.150.743.129.799
1987-06;185.573.673.630.462
1987-07;-226.681.941.535.106
1987-08;240.461.498.587.045
1987-09;264.280.949.122.481
1987-10;102.179.817.383.634
1987-11;164.524.149.245.609
1987-12;451.691.249.630.692
1988-01;429.628.302.886.263
1988-02;132.838.866.028.738
1988-03;-976.089.550.687.598
1988-04;228.917.750.010.031
1988-05;226.718.952.412.416
1988-06;343.493.716.214.585
1988-07;-173.067.928.355.962
1988-08;190.250.576.491.579
1988-09;766.249.967.178.805
1988-10;-266.367.175.979.274
1988-11;133.093.327.793.479
1988-12;385.583.818.369.982
1989-01;130.229.756.551.019
1989-02;138.616.819.416.265
1989-03;-12.024.139.305.178
1989-04;149.967.601.715.966
1989-05;206.436.651.825.186
1989-06;197.640.626.645.484
1989-07;-167.870.983.733.879
1989-08;1.604.746.383.826
1989-09;-189.386.535.497.123
1989-10;-299.703.509.168.855
1989-11;128.068.130.838.996
1989-12;815.131.267.519.359
1990-01;-497.744.836.965.835
1990-02;169.694.686.686.749
1990-03;-85.596.327.447.461
1990-04;180.807.889.016.424
1990-05;182.825.173.395.098
1990-06;318.039.532.329.306
1990-07;-161.828.832.351.327
1990-08;194.585.730.013.037
1990-09;-183.180.182.862.413
1990-10;363.809.948.221.718
1990-11;150.456.520.435.857
1990-12;284.637.283.459.839
1991-01;375.290.782.601.394
1991-02;187.188.493.324.915
1991-03;-113.945.445.683.368
1991-04;121.166.427.700.892
1991-05;198.234.013.921.516
1991-06;394.281.569.343.949
1991-07;-173.450.504.408.991
1991-08;199.590.325.255.495
1991-09;-22.111.568.209.319
1991-10;-142.232.196.607.105
1991-11;172.094.396.930.481
1991-12;686.766.828.408.048
1992-01;18.158.894.397.161
1992-02;19.303.990.565.209
1992-03;-126.922.639.664.938
1992-04;143.587.065.559.579
1992-05;220.693.801.352.968
1992-06;388.757.678.872.481
1992-07;-227.233.895.001.778
1992-08;204.297.348.492.144
1992-09;-198.629.737.383.425
1992-10;-232.502.353.143.895
1992-11;138.673.888.564.372
1992-12;620.874.292.062.585
1993-01;394.070.906.823.856
1993-02;180.338.253.364.303
1993-03;-792.330.964.970.439
1993-04;131.260.949.275.294
1993-05;249.698.574.961.127
1993-06;187.648.261.653.727
1993-07;-161.846.962.537.954
1993-08;221.519.149.389.189
1993-09;-396.739.305.655.345
1993-10;-310.646.076.755.453
1993-11;136.775.627.874.741
1993-12;927.903.334.956.124
1994-01;209.719.587.340.556
1994-02;197.036.004.399.977
1994-03;-972.241.155.104.569
1994-04;137.519.821.144.718
1994-05;231.905.554.026.107
1994-06;41.501.793.141.309
1994-07;-201.753.495.684.028
1994-08;190.853.555.988.085
1994-09;-343.768.302.621.408
1994-10;-125.215.172.417.209
1994-11;132.394.570.878.845
1994-12;964.269.506.641.167
1995-01;149.506.668.635.485
1995-02;216.928.280.781.394
1995-03;-104.480.845.925.084
1995-04;145.974.680.694.783
1995-05;226.431.823.697.221
1995-06;17.732.234.773.398
1995-07;-1.867.401.852.401
1995-08;243.230.957.541.168
1995-09;584.018.357.987.028
1995-10;-146.605.601.370.229
1995-11;160.907.961.141.407
1995-12;117.891.585.114.392
1996-01;516.179.487.634.621
1996-02;185.945.867.668.608
1996-03;-12.144.645.922.497
1996-04;214.388.528.553.824
1996-05;237.468.720.485.214
1996-06;172.346.230.059.991
1996-07;-179.096.264.488.671
1996-08;183.693.784.688.471
1996-09;-119.718.495.883.444
1996-10;-319.400.002.933.395
1996-11;136.967.041.103.882
1996-12;104.388.846.476.233
1997-01;-128.608.425.375.472
1997-02;178.678.286.951.943
1997-03;-926.090.260.020.012
1997-04;155.908.342.768.712
1997-05;217.833.800.671.582
1997-06;289.402.190.078.978
1997-07;-176.288.174.655.963
1997-08;2.017.751.818.808
1997-09;210.163.206.708.867
1997-10;216.858.230.379.079
1997-11;174.047.080.865.277
1997-12;13.384.609.362.782
1998-01;143.305.579.534.757
1998-02;167.755.531.085.615
1998-03;-608.406.440.490.536
1998-04;211.006.332.974.843
1998-05;23.420.592.196.325
1998-06;-164.234.313.702.197
1998-07;-161.461.701.493.122
1998-08;21.196.847.553.363
1998-09;272.998.902.485.274
1998-10;330.662.525.202.384
1998-11;188.120.935.679.211
1998-12;121.945.232.713.117
1999-01;-238.765.114.669.079
1999-02;213.114.523.065.868
1999-03;-382.469.110.325.168
1999-04;220.721.784.553.987
1999-05;207.182.259.196.469
1999-06;570.408.847.138.353
1999-07;-196.581.495.992.328
1999-08;218.071.317.667.627
1999-09;318.826.362.574.712
1999-10;-399.937.773.250.388
1999-11;164.087.321.556.485
1999-12;125.465.941.279.918
